id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
1684,55,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.790723,0.61198,0.015448,-0.494597,0.00835559,0.627207,-0.00236984,0.00645352,0.98152,-0.191032,0.0112283,0.614914,0.00883103,-0.623922,0.0129374,-0.00450026,-0.028289,-0.99958,0.00636191,0.167284,0.000195037,-0.0145721,0.167754,-0.00197528,0.00246598,-0.999996,-0.00143624,-0.148215,9.20752e-06,-0.00519124,-0.148232,0.00213765,-0.0434563,0.153142,0.987248,-0.250416,0.00197442,-0.0203694,0.00435904,0.252078,0.0208161,-0.146794,0.988948,0.253898,0.0021171,-0.0102753,0.0029003,-0.256089,
1685,55,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.792067,0.610264,0.0143873,-0.494886,0.00828553,0.626462,-0.00227937,0.00538066,0.981334,-0.19193,0.0121316,0.614191,0.00892863,-0.623171,0.0135452,-0.00430032,-0.0275975,-0.999594,0.00709745,0.16748,0.000201088,-0.0152586,0.167946,-0.00327729,0.00274955,-0.999996,-0.000741692,-0.147961,9.33718e-06,-0.00900345,-0.147979,-0.00971776,-0.0437502,0.152476,0.987338,-0.250208,0.00201335,-0.0187717,0.00414058,0.251946,0.0213721,-0.150049,0.988448,0.253535,0.00218795,-0.0130322,0.00315881,-0.255737,
1686,52,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.968325,0.249641,0.0051166,-0.618922,0.0177247,0.640184,-0.00399668,0.00268454,0.996391,-0.0848435,0.00250521,0.623236,0.0169196,-0.624215,0.0150075,-0.000147433,-0.0400835,-0.999193,-0.00254738,0.164745,0.000340769,0.00265664,0.164764,0.0030106,-0.000508543,-0.99999,-0.00447058,-0.152,6.57381e-06,0.013887,-0.152056,0.010653,-0.00322929,0.159996,0.987112,-0.27424,0.00290063,-0.00834944,0.00525215,0.276942,-0.0029033,-0.141962,0.989868,0.272263,0.00265421,-0.00665158,0.00676293,-0.2741,
1687,52,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.967125,0.254211,0.00682072,-0.620973,0.0176498,0.643204,-0.00435628,0.00310007,0.996722,-0.0808971,0.00123914,0.625845,0.0167038,-0.626681,0.0150716,0.000721455,-0.040317,-0.99918,-0.00377648,0.164513,0.000324847,0.00315719,0.164523,-0.000603368,-0.00116034,-0.99999,-0.00438393,-0.151641,8.35246e-06,0.00643719,-0.15172,0.0159017,-0.00475239,0.161913,0.986794,-0.274095,0.00280261,-0.0167433,0.00543509,0.276791,-0.00208845,-0.14372,0.989616,0.271663,0.00266256,-0.0057533,0.0069356,-0.273518,
1688,53,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.89797,0.439744,0.0165955,-0.568357,0.00827806,0.636478,-0.00729469,0.00160411,0.990147,-0.139395,0.0133562,0.633998,0.00759908,-0.640004,0.00321994,0.0111447,-0.0278978,-0.9996,0.0045436,0.160694,0.000136353,-0.000308363,0.160752,-0.00332753,0.00339786,-0.999989,-0.00331449,-0.151151,8.12829e-06,-0.0637074,-0.151219,-0.0454175,-0.0228711,0.153622,0.987865,-0.251842,0.00133389,-0.0252849,0.00106098,0.254185,0.04081,-0.180458,0.982736,0.252591,0.00384281,-0.0257034,0.00139052,-0.255706,
1689,53,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.900862,0.433548,0.0220049,-0.570506,0.00844966,0.637397,-0.00866403,0.00254885,0.989929,-0.141223,0.00983212,0.633337,0.00801011,-0.639317,0.00417402,0.0132504,-0.0283918,-0.999594,-0.00255263,0.160007,0.000131544,0.000658653,0.160057,-0.00165018,0.0013724,-0.999956,-0.00932394,-0.150423,9.30104e-06,-0.0183871,-0.151285,0.0889674,-0.0220571,0.1499,0.988455,-0.251993,0.00129687,-0.0193172,-0.000524712,0.254585,0.0392653,-0.188396,0.981308,0.251788,0.00383842,-0.0282658,0.00308148,-0.254861,
1690,54,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0.97454,0.219209,-0.0471046,-0.61392,0.0696349,0.630815,-0.00535097,-0.00716807,0.972736,-0.194252,0.126691,0.60548,0.119547,-0.618966,0.00635884,-0.0170085,-0.0187994,-0.999803,0.00636505,0.160828,0.000158752,-0.00798126,0.160963,-0.00741278,0.00104154,-0.999999,0.000528374,-0.159044,2.91399e-05,0.0495655,-0.158994,-0.00384477,-0.00393154,0.0666179,0.997771,-0.273535,0.00493377,-0.00894757,0.00443545,0.273814,-0.0120789,-0.0316968,0.999425,0.284563,0.00483451,-0.0032374,0.00390934,-0.284642,
1691,54,0,4,4,1,0,2,0,0,0,0,0,0,0,0,
1692,49,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.870377,0.491994,0.0196546,-0.5464,0.0165503,0.615046,0.0220093,0.012677,0.98945,-0.144765,0.00572899,0.607352,0.0157954,-0.610692,0.0215916,0.00402998,-0.0130586,-0.999912,-0.00231555,0.186378,0.000418152,-0.0123258,0.18654,0.00653702,0.00114254,-0.999997,0.00236957,-0.133585,1.26966e-05,0.0832277,-0.133548,-0.0239782,-0.0103656,0.173142,0.984842,-0.26532,0.003357,-0.000839566,0.0236402,0.265239,-0.000374314,-0.174417,0.984672,0.253891,0.00340571,3.25966e-05,0.024285,-0.253541,
1693,49,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0.870137,0.492359,0.021069,-0.547446,0.0164765,0.6166,0.0216294,0.0127774,0.989334,-0.145499,0.00692129,0.608985,0.015561,-0.61229,0.0223454,0.00371114,-0.0140231,-0.9999,-0.00177194,0.186043,0.000428712,-0.0118609,0.186213,0.00802121,0.0010623,-0.999999,0.000847491,-0.133443,1.08937e-05,0.0401547,-0.133398,0.00225925,-0.0102098,0.174076,0.984679,-0.265401,0.00319843,-0.00181841,0.0232972,0.265393,-3.21055e-05,-0.17297,0.984927,0.25392,0.00344736,-0.00160305,0.0234384,-0.253689,
