id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz
3009,15,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.967293,0.252316,0.0261067,-0.625416,0.0182551,0.661558,-0.0587654,0.0123851,0.994323,-0.100879,0.0338316,0.625984,0.019898,-0.634003,-0.0456347,-0.00542377,-0.0344293,-0.999335,-0.0120014,0.111135,0.000364324,0.0067786,0.110941,0.00284703,0.00342251,-0.999975,-0.00627227,-0.214533,2.84724e-05,0.00706499,-0.213864,-0.103609,-0.026095,0.217214,0.975775,-0.270033,0.00391462,-0.00685893,-0.074705,0.293183,-0.0178765,-0.198463,0.979945,0.266853,0.0038925,0.0015433,-0.0523961,-0.282898,
3020,88,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.842549,0.538508,-0.0109342,-0.468792,0.00387402,0.591695,-0.0552533,-0.00130714,0.984365,-0.176142,-0.000474371,0.58776,0.00505837,-0.604733,-0.0426624,-0.00619736,-0.0411936,-0.999032,0.0154602,0.132338,0.000195509,-0.0263297,0.133474,-0.00500473,0.00685957,-0.99997,0.00351885,-0.225503,0.000109823,0.135042,-0.22456,0.00680351,-0.0166222,0.207928,0.978003,-0.259682,0.00391018,-0.017304,-0.073142,0.280779,0.00712249,-0.146987,0.989113,0.266112,0.00391963,-0.0283934,-0.0601283,-0.277772,
3021,608,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.775615,0.630998,0.016194,-0.434803,0.00642158,0.613064,-0.064572,0.00284393,0.986458,-0.164011,-0.000729707,0.598714,0.0252367,-0.614909,-0.0479744,-9.06758e-05,-0.0256487,-0.999605,-0.0114621,0.100308,0.000724453,-0.0405298,0.101326,0.00532287,-0.00409491,-0.999948,-0.00929138,-0.193292,3.10974e-05,-0.0410791,-0.19345,0.0340163,-0.0127415,0.138356,0.990301,-0.269446,0.0028629,-0.0180692,-0.0550382,0.279541,0.00849677,-0.202684,0.979207,0.263418,0.00282934,-0.0152998,-0.0643388,-0.282197,
3022,29,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.801667,0.597764,-0.00280417,-0.457935,0.00972243,0.615167,-0.0589473,-0.00428045,0.991169,-0.132443,-0.00656598,0.602292,0.0196128,-0.613573,-0.0444012,0.00283837,-0.0252628,-0.999675,0.0035496,0.11312,0.000291693,-0.036196,0.114082,0.00289744,0.00193081,-0.999996,-0.00183714,-0.200432,4.49392e-05,0.0264604,-0.200325,-0.0310352,0.0036839,0.226211,0.974071,-0.242168,0.00447708,-0.00431132,-0.0715363,0.265244,0.0097849,-0.191471,0.98145,0.24403,0.00411754,-0.0101506,-0.0482895,-0.257962,
3025,27,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.79121,0.611542,0.00208362,-0.454606,0.0097752,0.617584,-0.0556717,0.00595858,0.990769,-0.135558,1.37389e-05,0.60043,0.0186162,-0.612108,-0.0444657,-0.00690513,-0.0259367,-0.999654,0.00429361,0.109013,0.000168214,-0.0430962,0.110175,0.00142136,0.000387464,-0.999995,0.00308655,-0.204395,1.54104e-05,0.0860079,-0.204846,-0.15657,-0.0109207,0.176091,0.984313,-0.256398,0.00311551,-0.0052327,-0.0710159,0.273131,-0.0111772,-0.155845,0.987718,0.25587,0.0025569,-0.00377594,-0.0550421,-0.267779,
3026,76,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.845436,0.533582,-0.0229787,-0.469292,0.00345697,0.592472,-0.0597248,-0.0114352,0.979029,-0.203023,-0.0168684,0.581178,0.006486,-0.602815,-0.0451631,0.0103416,-0.0330831,-0.999443,0.00440829,0.108807,0.000415933,-0.0113304,0.109253,0.00243368,0.00382334,-0.999982,0.00460806,-0.204448,2.45318e-05,0.00569839,-0.204216,0.0464584,-0.00862229,0.15112,0.988478,-0.245492,0.00405384,-0.0128194,-0.0535488,0.256428,0.0452901,-0.226049,0.973062,0.243307,0.00476145,-0.0274392,-0.0712502,-0.265318,
3028,602,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0.775769,0.631016,-0.000713135,-0.438769,0.00652614,0.617478,-0.0637932,-0.00510915,0.988987,-0.148001,-0.000315232,0.59838,0.0230734,-0.612785,-0.0517475,0.00674574,-0.0323648,-0.999476,-0.000707524,0.101012,0.000684117,-0.0279267,0.101969,-0.000260529,0.00194778,-0.99997,0.00744041,-0.194771,0.000383099,-0.0297168,-0.196254,-0.190788,0.00149106,0.18649,0.982456,-0.263984,0.00253612,-0.0153206,-0.0703563,0.282077,0.0212198,-0.1442,0.989321,0.268463,0.00286975,-0.0226645,-0.0537605,-0.278711,
3029,11,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.894637,0.446776,-0.00392649,-0.527488,0.0180299,0.620956,-0.0627764,-0.00113336,0.981868,-0.189559,-0.0017835,0.604208,0.0107914,-0.624012,-0.0447719,-0.00144101,-0.0262691,-0.999604,-0.0100759,0.129912,0.000221672,-0.0182617,0.130448,-0.000499178,0.000968938,-0.999975,-0.00703932,-0.231118,1.79072e-05,0.153395,-0.232109,0.161108,-0.00107047,0.155428,0.987847,-0.264487,0.00286891,-0.0162043,-0.0605,0.277243,0.00652979,-0.17676,0.984232,0.265242,0.00282961,-0.00980067,-0.0750399,-0.282903,
3042,97,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.893431,0.449087,-0.0101134,-0.539963,0.0143051,0.634313,-0.0603243,-0.0335189,0.994074,-0.106782,-0.0203683,0.62208,0.0204637,-0.631362,-0.0514975,-0.00202268,-0.0189825,-0.999798,-0.00657625,0.121724,0.000526667,-0.020638,0.12223,-0.0135506,0.0003497,-0.999982,-0.00604915,-0.223349,2.08987e-05,0.0512399,-0.22355,0.03561,0.0271613,0.112566,0.993273,-0.256282,0.00273437,-0.00379395,-0.0508772,0.263887,0.0280133,-0.21777,0.975598,0.278232,0.00281781,-0.0170781,-0.0742042,-0.301265,
3044,138,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.989636,0.143449,0.00652466,-0.656181,0.017386,0.673339,-0.0710945,0.0028117,0.993344,-0.115186,0.000212188,0.628681,0.0163509,-0.639126,-0.0537551,-0.00399698,-0.0311059,-0.999505,-0.00470374,0.112297,0.000397556,0.0191501,0.111771,-0.00288892,0.00102564,-0.999994,-0.00322552,-0.227679,1.10388e-05,0.0308856,-0.227656,0.00199939,-0.00749555,0.161114,0.986907,-0.26151,0.00317015,-0.000614984,-0.0591417,0.27463,-0.00682983,-0.174163,0.984693,0.264066,0.00311191,0.0103653,-0.0582171,-0.278396,
3045,138,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.990501,0.137408,0.00511081,-0.655841,0.0181016,0.672016,-0.0712061,-0.00133624,0.994776,-0.102077,-0.0012798,0.63202,0.0168866,-0.640922,-0.0544245,0.00131602,-0.0308089,-0.9995,0.0070562,0.11564,0.000484725,0.0186639,0.115078,-0.00639434,0.000279053,-0.999995,0.0032949,-0.226836,8.52706e-05,0.00578792,-0.226899,-0.0192774,-0.00023381,0.179735,0.983715,-0.261538,0.00369949,0.00479588,-0.0544306,0.275814,0.00325573,-0.170344,0.985379,0.266221,0.00373659,0.000144279,-0.0584863,-0.280282,
3052,266,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0.882438,0.47028,0.0118346,-0.498998,0.00698501,0.598678,-0.0623582,0.00230144,0.984085,-0.1777,-0.000370733,0.603443,0.00934675,-0.621074,-0.0435984,0.00200817,-0.0348633,-0.999266,-0.0158915,0.130236,0.000386609,-0.0172537,0.130887,0.0029704,-0.00252065,-0.999968,-0.00754944,-0.22665,1.01754e-05,-0.0618195,-0.226916,0.0549246,-0.0451972,0.145133,0.988379,-0.261282,0.00465882,-0.0380941,-0.0580444,0.271135,0.0380377,-0.229444,0.972578,0.254114,0.00502177,-0.032929,-0.0703067,-0.276577,
3053,157,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.853903,0.52043,-0.00140039,-0.500504,0.0232171,0.623751,-0.0617025,0.0052816,0.986507,-0.163701,0.00255777,0.598121,0.0153844,-0.613219,-0.0416765,0.000427282,-0.0315975,-0.999436,-0.0113351,0.106905,0.000216022,-0.0186858,0.107488,0.00602456,-0.000792089,-0.999999,0.00137016,-0.200895,9.6621e-06,0.0926307,-0.200956,0.00899918,-0.00087063,0.172078,0.985083,-0.247971,0.00274316,-0.00375214,-0.0528244,0.26095,-0.0105798,-0.179459,0.983709,0.240202,0.00275748,0.00267236,-0.0531658,-0.25385,
3054,124,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.983667,0.179969,0.00327927,-0.649443,0.0226041,0.672375,-0.066386,-0.000902833,0.995161,-0.0981566,0.00437416,0.625559,0.021421,-0.633533,-0.0500392,-0.000776778,-0.0323208,-0.999417,0.0109784,0.0967198,0.000888576,0.018244,0.0961466,-0.00360254,0.00149155,-0.999995,0.00288954,-0.208905,1.01012e-05,0.00800896,-0.209258,-0.125997,-0.00182771,0.219095,0.975702,-0.254197,0.00338681,0.00274987,-0.0779594,0.278038,-0.000172135,-0.170482,0.985361,0.260759,0.00429587,-0.00386511,-0.0610968,-0.275204,
3055,139,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.985749,0.168079,-0.00688927,-0.567688,0.0110768,0.587543,-0.0682294,0.00219224,0.989736,-0.142846,-0.00415833,0.553494,0.0103622,-0.566052,-0.0472886,0.00159595,-0.033278,-0.999446,0.000885606,0.120833,0.000307475,0.00695874,0.120669,0.000584829,-0.00106748,-0.999993,-0.0034919,-0.232287,4.37948e-05,0.0332591,-0.232314,-0.00287799,0.00255943,0.104,0.994574,-0.273471,0.00226598,-0.00186334,-0.0640934,0.28167,0.00206118,-0.110865,0.993833,0.272902,0.00393718,0.000855519,-0.057879,-0.281054,
3056,1,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0.992227,0.124348,-0.00487093,-0.633633,0.0326389,0.646098,-0.0600022,-0.00367605,0.989507,-0.144193,0.00917732,0.615396,0.0303265,-0.629217,-0.0502335,-0.00267912,-0.0178203,-0.99984,0.00173443,0.102889,0.000485579,0.0154148,0.102631,0.000137292,0.000348368,-0.999999,-0.00114457,-0.20967,2.67668e-05,0.028429,-0.209668,0.00732749,-0.00211437,0.181059,0.98347,-0.259943,0.00467845,0.00139974,-0.0529278,0.27406,0.0036537,-0.165476,0.986207,0.262529,0.00428782,-0.00487971,-0.0547757,-0.275374,
3060,21,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0.879633,0.456105,-0.134958,-0.521204,0.0116869,0.610007,-0.060124,-0.0892485,0.969871,-0.194586,-0.146582,0.611003,0.0134792,-0.623832,-0.0554297,0.114287,-0.0279507,-0.999606,-0.0023991,0.129587,0.000222633,-0.020209,0.130191,0.00503024,-0.000118873,-1,-6.15264e-05,-0.233451,2.41717e-05,0.012436,-0.233457,0.0739529,0.135386,0.110686,0.984591,-0.267047,0.00409132,0.0102522,-0.0602876,0.276594,0.179126,-0.197873,0.963722,0.257212,0.00761336,-0.0381505,-0.0742047,-0.27504,
